,Date,Open,High,Low,Close,Volume,Adj Close,Years Since 2009,Daily Avg,Daily Range
209,2009-03-05,316.480545,319.08056,302.640509,305.640517,13108600,152.667591,0.172602739726,310.8605345,16.440051
210,2009-03-04,323.160561,329.000555,315.380549,318.920538,15695300,159.300968,0.169863013699,322.190552,13.620006
211,2009-03-03,330.070562,333.690562,322.350559,325.480569,13098400,162.577707,0.167123287671,328.0205605,11.340003
212,2009-03-02,333.330575,340.700577,326.000547,327.160551,11620300,163.416859,0.164383561644,333.350562,14.70003
213,2009-02-27,332.950585,343.820601,331.110581,337.990593,10880500,168.82647,0.156164383562,337.465591,12.71002
214,2009-02-26,345.960585,352.490596,337.160588,337.180591,11253200,168.421873,0.153424657534,344.825592,15.330008
215,2009-02-25,342.150574,352.300616,338.920581,341.640582,12926300,170.649641,0.150684931507,345.6105985,13.380035
216,2009-02-24,331.020553,349.62059,330.890581,345.450592,12237400,172.552743,0.147945205479,340.2555855,18.730009
217,2009-02-23,347.000603,349.800614,329.550553,330.060576,10481200,164.865423,0.145205479452,339.6755835,20.250061
218,2009-02-20,338.050571,348.920587,335.000571,346.450605,12480700,173.05225,0.13698630137,341.960579,13.920016
219,2009-02-19,357.470627,359.800621,341.410597,342.640595,10014700,171.149148,0.134246575343,350.605609,18.390024
220,2009-02-18,347.240605,353.380609,340.520583,353.110618,12094100,176.37893,0.131506849315,346.950596,12.860026
221,2009-02-17,346.510583,347.0906,339.690578,342.660597,11403300,171.15914,0.128767123288,343.390589,7.400022
222,2009-02-13,362.190622,362.990608,355.230599,357.680609,8324300,178.661643,0.117808219178,359.1106035,7.760009
223,2009-02-12,353.16061,363.620617,351.480597,363.050616,11142200,181.343964,0.115068493151,357.550607,12.14002
224,2009-02-11,358.950613,365.00062,353.000619,358.040627,10502300,178.841472,0.112328767123,359.0006195,12.000001
225,2009-02-10,375.980636,377.500658,357.890622,358.510614,14260600,179.076231,0.109589041096,367.69564,19.610036
226,2009-02-09,371.280643,381.000642,367.300625,378.770662,9991800,189.196135,0.106849315069,374.1506335,13.700017
227,2009-02-06,356.460597,373.810633,355.440612,371.280643,14128800,185.454867,0.0986301369862,364.6256225,18.370021
228,2009-02-05,340.91059,355.380604,337.000566,353.720594,14583200,176.683613,0.0958904109589,346.190585,18.380038
229,2009-02-04,340.070568,354.440599,339.170569,343.000582,13685800,171.328962,0.0931506849315,346.805584,15.27003
230,2009-02-03,342.5706,343.000582,333.830581,340.450589,13162100,170.055239,0.0904109589042,338.4155815,9.170001
231,2009-02-02,334.290582,345.000577,332.000563,340.570575,10452800,170.115172,0.0876712328768,338.50057,13.000014
